"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"A*",Manhattan,./src/resources/graphes/g2/g2Alea10.g2,0,-1.000,Infinity,16.616,100,35
"A*",euclidienne,./src/resources/graphes/g2/g2Alea10.g2,0,-1.000,Infinity,10.030,100,35
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea10.g2,0,-1.000,Infinity,7.962,100,35
"A*",Manhattan,./src/resources/graphes/g2/g2Alea100.g2,0,-1.000,Infinity,84958.846,10000,3113
"A*",euclidienne,./src/resources/graphes/g2/g2Alea100.g2,0,-1.000,Infinity,89087.501,10000,3113
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea100.g2,0,-1.000,Infinity,49336.866,10000,3113
"A*",Manhattan,./src/resources/graphes/g2/g2Alea11.g2,0,-1.000,Infinity,0.437,121,5
"A*",euclidienne,./src/resources/graphes/g2/g2Alea11.g2,0,-1.000,Infinity,0.316,121,5
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea11.g2,0,-1.000,Infinity,0.288,121,5
"A*",Manhattan,./src/resources/graphes/g2/g2Alea12.g2,0,-1.000,Infinity,3.306,144,43
"A*",euclidienne,./src/resources/graphes/g2/g2Alea12.g2,0,-1.000,Infinity,1.992,144,43
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea12.g2,0,-1.000,Infinity,2.418,144,43
"A*",Manhattan,./src/resources/graphes/g2/g2Alea13.g2,0,-1.000,Infinity,0.485,169,2
"A*",euclidienne,./src/resources/graphes/g2/g2Alea13.g2,0,-1.000,Infinity,0.282,169,2
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea13.g2,0,-1.000,Infinity,0.306,169,2
"A*",Manhattan,./src/resources/graphes/g2/g2Alea14.g2,0,0.750,8.000,0.721,196,12
"A*",euclidienne,./src/resources/graphes/g2/g2Alea14.g2,0,0.529,8.000,0.669,196,17
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea14.g2,0,1.000,8.000,0.555,196,9
"A*",Manhattan,./src/resources/graphes/g2/g2Alea15.g2,0,0.556,9.000,0.885,225,18
"A*",euclidienne,./src/resources/graphes/g2/g2Alea15.g2,0,0.435,9.000,1.309,225,23
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea15.g2,0,0.588,9.000,0.554,225,17
"A*",Manhattan,./src/resources/graphes/g2/g2Alea16.g2,0,0.474,8.000,0.663,256,19
"A*",euclidienne,./src/resources/graphes/g2/g2Alea16.g2,0,0.429,8.000,0.514,256,21
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea16.g2,0,0.600,8.000,0.522,256,15
"A*",Manhattan,./src/resources/graphes/g2/g2Alea17.g2,0,-1.000,Infinity,2.896,289,35
"A*",euclidienne,./src/resources/graphes/g2/g2Alea17.g2,0,-1.000,Infinity,6.494,289,39
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea17.g2,0,-1.000,Infinity,2.758,289,34
"A*",Manhattan,./src/resources/graphes/g2/g2Alea18.g2,0,-1.000,Infinity,5.157,324,46
"A*",euclidienne,./src/resources/graphes/g2/g2Alea18.g2,0,-1.000,Infinity,8.199,324,53
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea18.g2,0,-1.000,Infinity,2.651,324,49
"A*",Manhattan,./src/resources/graphes/g2/g2Alea19.g2,0,0.750,2.000,0.461,361,4
"A*",euclidienne,./src/resources/graphes/g2/g2Alea19.g2,0,0.750,2.000,0.371,361,4
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea19.g2,0,1.000,2.000,0.429,361,3
"A*",Manhattan,./src/resources/graphes/g2/g2Alea20.g2,0,0.889,7.000,0.936,400,9
"A*",euclidienne,./src/resources/graphes/g2/g2Alea20.g2,0,0.667,7.000,0.755,400,12
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea20.g2,0,1.000,7.000,0.554,400,8
"A*",Manhattan,./src/resources/graphes/g2/g2Alea21.g2,0,0.583,6.000,2.096,441,12
"A*",euclidienne,./src/resources/graphes/g2/g2Alea21.g2,0,0.500,6.000,1.367,441,14
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea21.g2,0,0.636,6.000,0.848,441,11
"A*",Manhattan,./src/resources/graphes/g2/g2Alea22.g2,0,0.577,14.000,1.284,484,26
"A*",euclidienne,./src/resources/graphes/g2/g2Alea22.g2,0,0.268,14.000,7.005,484,56
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea22.g2,0,0.882,14.000,0.896,484,17
"A*",Manhattan,./src/resources/graphes/g2/g2Alea23.g2,0,-1.000,Infinity,6.721,529,47
"A*",euclidienne,./src/resources/graphes/g2/g2Alea23.g2,0,-1.000,Infinity,4.257,529,47
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea23.g2,0,-1.000,Infinity,4.725,529,47
"A*",Manhattan,./src/resources/graphes/g2/g2Alea24.g2,0,0.523,22.000,7.336,576,44
"A*",euclidienne,./src/resources/graphes/g2/g2Alea24.g2,0,0.274,22.000,14.752,576,84
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea24.g2,0,0.885,22.000,1.753,576,26
"A*",Manhattan,./src/resources/graphes/g2/g2Alea25.g2,0,0.900,8.000,0.746,625,10
"A*",euclidienne,./src/resources/graphes/g2/g2Alea25.g2,0,0.818,8.000,0.797,625,11
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea25.g2,0,1.000,8.000,0.409,625,9
"A*",Manhattan,./src/resources/graphes/g2/g2Alea26.g2,0,0.875,6.000,0.881,676,8
"A*",euclidienne,./src/resources/graphes/g2/g2Alea26.g2,0,0.875,6.000,0.585,676,8
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea26.g2,0,0.875,6.000,0.639,676,8
"A*",Manhattan,./src/resources/graphes/g2/g2Alea27.g2,0,-1.000,Infinity,4.701,729,42
"A*",euclidienne,./src/resources/graphes/g2/g2Alea27.g2,0,-1.000,Infinity,3.348,729,42
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea27.g2,0,-1.000,Infinity,3.724,729,42
"A*",Manhattan,./src/resources/graphes/g2/g2Alea28.g2,0,-1.000,Infinity,72.224,784,534
"A*",euclidienne,./src/resources/graphes/g2/g2Alea28.g2,0,-1.000,Infinity,86.765,784,534
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea28.g2,0,-1.000,Infinity,77.022,784,534
"A*",Manhattan,./src/resources/graphes/g2/g2Alea29.g2,0,-1.000,Infinity,0.876,841,4
"A*",euclidienne,./src/resources/graphes/g2/g2Alea29.g2,0,-1.000,Infinity,0.634,841,3
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea29.g2,0,-1.000,Infinity,0.470,841,4
"A*",Manhattan,./src/resources/graphes/g2/g2Alea30.g2,0,-1.000,Infinity,1.079,900,8
"A*",euclidienne,./src/resources/graphes/g2/g2Alea30.g2,0,-1.000,Infinity,0.922,900,7
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea30.g2,0,-1.000,Infinity,0.952,900,7
"A*",Manhattan,./src/resources/graphes/g2/g2Alea31.g2,0,0.393,21.000,6.382,961,56
"A*",euclidienne,./src/resources/graphes/g2/g2Alea31.g2,0,0.289,21.000,10.886,961,76
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea31.g2,0,0.880,21.000,2.401,961,25
"A*",Manhattan,./src/resources/graphes/g2/g2Alea32.g2,0,-1.000,Infinity,2.297,1024,21
"A*",euclidienne,./src/resources/graphes/g2/g2Alea32.g2,0,-1.000,Infinity,4.372,1024,38
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea32.g2,0,-1.000,Infinity,1.061,1024,14
"A*",Manhattan,./src/resources/graphes/g2/g2Alea33.g2,0,0.889,7.000,1.091,1089,9
"A*",euclidienne,./src/resources/graphes/g2/g2Alea33.g2,0,0.727,7.000,1.188,1089,11
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea33.g2,0,0.889,7.000,0.654,1089,9
"A*",Manhattan,./src/resources/graphes/g2/g2Alea34.g2,0,-1.000,Infinity,0.910,1156,2
"A*",euclidienne,./src/resources/graphes/g2/g2Alea34.g2,0,-1.000,Infinity,0.791,1156,2
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea34.g2,0,-1.000,Infinity,0.853,1156,2
"A*",Manhattan,./src/resources/graphes/g2/g2Alea35.g2,0,0.500,33.000,7.315,1225,68
"A*",euclidienne,./src/resources/graphes/g2/g2Alea35.g2,0,0.207,33.000,21.457,1225,164
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea35.g2,0,0.548,33.000,3.930,1225,62
"A*",Manhattan,./src/resources/graphes/g2/g2Alea36.g2,0,-1.000,Infinity,1.287,1296,1
"A*",euclidienne,./src/resources/graphes/g2/g2Alea36.g2,0,-1.000,Infinity,0.529,1296,1
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea36.g2,0,-1.000,Infinity,0.467,1296,1
"A*",Manhattan,./src/resources/graphes/g2/g2Alea37.g2,0,0.643,17.000,8.024,1369,28
"A*",euclidienne,./src/resources/graphes/g2/g2Alea37.g2,0,0.500,17.000,10.685,1369,36
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea37.g2,0,0.818,17.000,2.490,1369,22
"A*",Manhattan,./src/resources/graphes/g2/g2Alea38.g2,0,-1.000,Infinity,3.360,1444,19
"A*",euclidienne,./src/resources/graphes/g2/g2Alea38.g2,0,-1.000,Infinity,7.929,1444,26
"A*",Ayutthaya,./src/resources/graphes/g2/g2Alea38.g2,0,-1.000,Infinity,1.602,1444,14
"A*",Manhattan,./src/resources/graphes/g2/g2Alea39.g2,0,-1.000,Infinity,1.067,1521,2
"A*",euclidienne,./src/resources/graphes/g2/g2Alea39.g2,0,-1.000,Infinity,0.719,1521,2
