"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"Dijsktra",aucune,./src/resources/graphes/g/gAlea10.g,0,0.172,511.485,1.954,100,64
"A*",Manhattan,./src/resources/graphes/g/gAlea10.g,0,0.846,511.485,1.426,100,13
"A*",euclidienne,./src/resources/graphes/g/gAlea10.g,0,0.647,511.485,1.211,100,17
"Dijsktra",aucune,./src/resources/graphes/g/gAlea100.g,0,0.015,650.480,864.850,10000,7986
"A*",Manhattan,./src/resources/graphes/g/gAlea100.g,0,0.722,654.823,73.542,10000,176
"A*",euclidienne,./src/resources/graphes/g/gAlea100.g,0,0.062,650.480,374.423,10000,1962
"Dijsktra",aucune,./src/resources/graphes/g/gAlea101.g,0,0.015,156.551,686.925,10201,8154
"A*",Manhattan,./src/resources/graphes/g/gAlea101.g,0,0.770,164.066,40.936,10201,174
"A*",euclidienne,./src/resources/graphes/g/gAlea101.g,0,0.045,156.551,548.707,10201,2766
"Dijsktra",aucune,./src/resources/graphes/g/gAlea102.g,0,0.012,662.309,774.207,10404,10399
"A*",Manhattan,./src/resources/graphes/g/gAlea102.g,0,0.016,671.823,1176.336,10404,8332
"A*",euclidienne,./src/resources/graphes/g/gAlea102.g,0,0.014,662.309,1152.448,10404,8982
"Dijsktra",aucune,./src/resources/graphes/g/gAlea103.g,0,0.015,168.380,742.082,10609,8489
"A*",Manhattan,./src/resources/graphes/g/gAlea103.g,0,0.339,171.794,87.819,10609,380
"A*",euclidienne,./src/resources/graphes/g/gAlea103.g,0,0.026,168.380,829.879,10609,4806
"Dijsktra",aucune,./src/resources/graphes/g/gAlea104.g,0,0.015,159.137,813.243,10816,8598
"A*",Manhattan,./src/resources/graphes/g/gAlea104.g,0,0.497,174.652,57.442,10816,290
"A*",euclidienne,./src/resources/graphes/g/gAlea104.g,0,0.053,159.137,451.751,10816,2393
"Dijsktra",aucune,./src/resources/graphes/g/gAlea105.g,0,0.014,674.966,756.259,11025,8905
"A*",Manhattan,./src/resources/graphes/g/gAlea105.g,0,0.099,681.551,247.374,11025,1322
"A*",euclidienne,./src/resources/graphes/g/gAlea105.g,0,0.021,674.966,970.242,11025,6067
"Dijsktra",aucune,./src/resources/graphes/g/gAlea106.g,0,0.015,180.208,786.731,11236,9058
"A*",Manhattan,./src/resources/graphes/g/gAlea106.g,0,0.156,187.380,178.685,11236,891
"A*",euclidienne,./src/resources/graphes/g/gAlea106.g,0,0.022,180.208,927.895,11236,5941
"Dijsktra",aucune,./src/resources/graphes/g/gAlea107.g,0,0.014,164.551,870.958,11449,9161
"A*",Manhattan,./src/resources/graphes/g/gAlea107.g,0,0.636,172.309,48.954,11449,220
"A*",euclidienne,./src/resources/graphes/g/gAlea107.g,0,0.046,164.551,612.379,11449,2863
"Dijsktra",aucune,./src/resources/graphes/g/gAlea108.g,0,0.014,184.208,854.838,11664,9285
"A*",Manhattan,./src/resources/graphes/g/gAlea108.g,0,0.549,192.794,52.264,11664,257
